Sector,Q,Year,Burn,Slr_Tot,MnWndSp_Av,MnWndDir_Av,MaxWndGst,AvAirT_Av,AvAirT_AvDMax,AvAirT_Max,AvAirT_AvDMin,AvAirT_Min,AvHum_Av,AvHum_Max,AvHum_Min,Precip_Tot,Slr_Tot_3,MnWndSp_Av_3,MnWndDir_Av_3,MaxWndGst_3,AvAirT_Av_3,AvAirT_AvDMax_3,AvAirT_Max_3,AvAirT_AvDMin_3,AvAirT_Min_3,AvHum_Av_3,AvHum_Max_3,AvHum_Min_3,Precip_Tot_3,Slr_Tot_5,MnWndSp_Av_5,MnWndDir_Av_5,MaxWndGst_5,AvAirT_Av_5,AvAirT_AvDMax_5,AvAirT_Max_5,AvAirT_AvDMin_5,AvAirT_Min_5,AvHum_Av_5,AvHum_Max_5,AvHum_Min_5,Precip_Tot_5,BurnFrCh
0,1,1992,92.19999999999999,0.0,0.07327795352519571,0.012646402652717168,-0.11924914733398458,0.061705754597347694,0.035768900839980564,0.004654416558396606,0.097780902082533,0.6822322492581997,-0.2535511828950861,-0.0962653654152303,-0.407430319559752,-0.43883614364707624,0.0,0.07327795352519571,0.012646402652717168,-0.11924914733398458,0.061705754597347694,0.035768900839980564,0.004654416558396606,0.097780902082533,0.6822322492581997,-0.2535511828950861,-0.0962653654152303,-0.407430319559752,-0.43883614364707624,0.0,0.07327795352519571,0.012646402652717168,-0.11924914733398458,0.061705754597347694,0.035768900839980564,0.004654416558396606,0.097780902082533,0.6822322492581997,-0.2535511828950861,-0.0962653654152303,-0.407430319559752,-0.43883614364707624,-0.45085028423692813
0,2,1992,6457.0,0.0,0.10087920521199188,0.06219539316576541,0.4942358115060495,0.09142580184239497,0.08884251733745087,0.06043977892131466,0.09286069570163506,0.03851326249715507,-0.11370634169418549,0.0128259280269331,-0.36854429155279433,-0.5178051432307365,0.0,0.0870785793685938,0.03742089790924129,0.18749333208603247,0.07656577821987133,0.062305709088715716,0.03254709773985563,0.09532079889208403,0.36037275587767736,-0.1836287622946358,-0.0417197186941486,-0.38798730555627314,-0.47832064343890635,0.0,0.0870785793685938,0.03742089790924129,0.18749333208603247,0.07656577821987133,0.062305709088715716,0.03254709773985563,0.09532079889208403,0.36037275587767736,-0.1836287622946358,-0.0417197186941486,-0.38798730555627314,-0.47832064343890635,-0.46966544540672567
0,3,1992,74943.69999999998,0.0,0.14152199371971244,0.5161842548038764,0.18457805545750192,0.005347693072044065,-0.0016813725450740159,0.008814537334148645,0.007293773641802896,-0.04941554744297075,-0.047728715422904355,0.03222151580651099,-0.22313085624527126,-0.45339475691639713,0.0,0.10522638415230001,0.19700868354078635,0.18652157320985563,0.05282641650392891,0.04097668187745247,0.024636244271286637,0.06597845714199031,0.22377665477079467,-0.1383287466707253,-0.01707264052726207,-0.3330351557859392,-0.47001201459806996,0.0,0.10522638415230001,0.19700868354078635,0.18652157320985563,0.05282641650392891,0.04097668187745247,0.024636244271286637,0.06597845714199031,0.22377665477079467,-0.1383287466707253,-0.01707264052726207,-0.3330351557859392,-0.47001201459806996,-0.07556002442446313
0,4,1992,365.0999999999999,0.0,0.13528342918480316,0.040398818776695655,0.10964336510592122,-0.029742077977809016,-0.01567815533326782,0.0004960066825139761,-0.06662715772674783,-0.08870006111703597,0.042218753710115055,0.018588364324428206,-0.17390863791335864,0.059786781494589054,0.0,0.1127406454104258,0.15785621734976368,0.16730202118387202,0.03218429288349443,0.0268129725747724,0.01860118487409347,0.03282705342480578,0.145657475798837,-0.09319187157551521,-0.008157389314339503,-0.29325352631779406,-0.3375623155749052,0.0,0.1127406454104258,0.15785621734976368,0.16730202118387202,0.03218429288349443,0.0268129725747724,0.01860118487409347,0.03282705342480578,0.145657475798837,-0.09319187157551521,-0.008157389314339503,-0.29325352631779406,-0.3375623155749052,-0.9625505215790666
0,1,1993,24.4,0.0,0.030207028488922844,-0.024922045879686574,-0.031628981221621964,-0.09086205065282583,-0.09536099382600764,-0.10859244682604584,-0.08472947114829045,-0.4392377514177214,0.17737808036014538,0.014275280247935791,0.6422207051859671,-0.13952142958502936,0.0,0.09623392202612521,0.12130056470387363,0.12751582070277323,0.0075750241762303746,0.0023781792946163923,-0.006837541465934391,0.009315748510186536,0.02867843035552532,-0.039077881188383096,-0.0036708554018844443,-0.10615868001704183,-0.29795413837693,0.0,0.09623392202612521,0.12130056470387363,0.12751582070277323,0.0075750241762303746,0.0023781792946163923,-0.006837541465934391,0.009315748510186536,0.02867843035552532,-0.039077881188383096,-0.0036708554018844443,-0.10615868001704183,-0.29795413837693,-0.854671875654892
0,2,1993,1415.5,0.0,0.1329222930835129,-0.07033952018712061,0.15104609690732237,-0.027696848338964988,-0.03826656531676683,-0.03469410972545784,-0.0022451960083477406,-0.015856809839926583,0.10958080834678864,0.015115305316310406,0.14223968955977043,0.4109996719350872,0.0,0.10234865053568983,0.08936055055537458,0.13143753340353143,0.0016963787570311473,-0.004395944807280811,-0.011480302842521634,0.007388924423764156,0.021255890322950003,-0.01430143293252114,-0.0005398286155186361,-0.06475895175423979,-0.1797951699915938,0.0,0.10234865053568983,0.08936055055537458,0.13143753340353143,0.0016963787570311473,-0.004395944807280811,-0.011480302842521634,0.007388924423764156,0.021255890322950003,-0.01430143293252114,-0.0005398286155186361,-0.06475895175423979,-0.1797951699915938,-0.8837403496938547
0,3,1993,4650.4,0.0,0.0829673119456961,0.24957986656032025,0.39525516581443215,-0.05551416613247212,-0.03416626766704057,0.02384181827819612,-0.06917669532916522,-0.09578373159580865,0.14122887414311497,0.0808302822001647,-0.01210194793425763,-0.002082613956952898,0.0,0.09957988787997643,0.11224902427036683,0.16912576660508868,-0.006476556227183606,-0.008648848072960777,-0.006434285539561955,-0.0035490212552257545,0.004535944334555911,0.007917182363998304,0.011084472929578983,-0.05723652263709948,-0.1544076619866451,0.0,0.09957988787997643,0.11224902427036683,0.16912576660508868,-0.006476556227183606,-0.008648848072960777,-0.006434285539561955,-0.0035490212552257545,0.004535944334555911,0.007917182363998304,0.011084472929578983,-0.05723652263709948,-0.1544076619866451,-0.9426367304734558
0,4,1993,960.6999999999998,0.0,0.18532812911279598,0.05464054503528628,0.13494513700871522,-0.032154871446121495,-0.006615402773509106,0.03247427001693903,-0.05282701357180965,-0.09893047843035674,0.033162642977294376,0.01716688520521675,-0.05844968649667239,-0.10874258167555928,0.0,0.11029841803407887,0.10504796436598177,0.164853187905542,-0.009686345629550844,-0.008394667410529317,-0.001570716094999331,-0.00970877029479874,-0.008397358511058176,0.011072864940660315,0.011844774464033704,-0.0573881681195461,-0.1486995269477594,0.0,0.11029841803407887,0.10504796436598177,0.164853187905542,-0.009686345629550844,-0.008394667410529317,-0.001570716094999331,-0.00970877029479874,-0.008397358511058176,0.011072864940660315,0.011844774464033704,-0.0573881681195461,-0.1486995269477594,-0.901457918600409
0,1,1994,178.19999999999996,0.0,0.062048246744387414,0.04255160764826747,0.2938726303022506,-0.0019492399326560533,0.035178877797398325,0.041916720090091064,-0.07394484421081132,0.025669232505860937,-0.01617900847664008,0.015181640833592355,-0.25326090850258715,-0.3633899391833151,0.0,0.10493728789077982,0.09810392473068018,0.17918868150517628,-0.008826667218784758,-0.0035531623874262455,0.0032612212588996018,-0.01684611184102236,-0.0046121817314004965,0.008044879005404716,0.012215537393984666,-0.07915180593988398,-0.17255401719615449,0.0,0.10493728789077982,0.09810392473068018,0.17918868150517628,-0.008826667218784758,-0.0035531623874262455,0.0032612212588996018,-0.01684611184102236,-0.0046121817314004965,0.008044879005404716,0.012215537393984666,-0.07915180593988398,-0.17255401719615449,0.061371793372878486
0,2,1994,7280.6,0.0,0.06471735942581303,0.2628029362221669,0.26639552129691463,-0.00943817640441894,0.01146274915805879,-0.001380477329286315,-0.03430905022715493,0.003086370004507205,0.06626485762047449,0.014013653815773332,-0.10998908210132108,0.43758049834523716,0.0,0.10091529504428313,0.11457382587982885,0.1879093654843501,-0.008887818137348175,-0.002051571232877742,0.00279705140008101,-0.018592405679635614,-0.0038423265578097264,0.013866876866911692,0.012395349036163534,-0.0822355335560277,-0.11154056564201531,0.0,0.10091529504428313,0.11457382587982885,0.1879093654843501,-0.008887818137348175,-0.002051571232877742,0.00279705140008101,-0.018592405679635614,-0.0038423265578097264,0.013866876866911692,0.012395349036163534,-0.0822355335560277,-0.11154056564201531,-0.40202048038225285
