Sector,Q,MnWndDir_Av,MaxWndGst,AvAirT_Av,AvAirT_Max,AvAirT_Min,AvHum_Max,Precip_Tot,MnWndDir_Av_3,Precip_Tot_3,BurnFrCh,Fire
2,3,0.11091013114127177,-0.08253353308492314,-0.02111913142780825,-0.01971200388767138,-0.014543380564106928,0.039488233335088704,-0.3433572656855843,0.083232018919225,0.2432903892525688,0.4871621197826572,1
4,1,0.22142733164266595,0.27752218213867696,-0.05835231293442818,-0.04859671888996568,0.15696791116597472,0.0047348414399144105,1.3968114146309116,0.044576137348788514,0.3292266399958068,-0.9967302401222584,0
1,4,-0.09694718273459238,0.11939572048764473,-0.002888883716823309,-0.015031415865912404,0.02002311447027004,0.010821073939309036,0.28513806882774473,-0.0818814071806836,-0.21603503049173567,-0.9665344775382612,0
3,4,0.06593275521720053,-0.05331668615455233,-0.014774819775494009,0.015960828867110706,-0.025124795148575352,-0.00881171260275439,-0.6034481489746366,-0.03294126089313963,-0.26962381890389964,-0.6135435213304141,0
4,1,-0.0957779603137755,-0.018462307952875,-0.10744675065340822,-0.14286025009652814,0.34028289817967605,0.005402044936981007,0.7023883472801289,-0.09002492709815335,0.8755577530065339,-0.9790102511074016,0
2,3,0.0050232841508122145,0.01828075282671953,-0.01502328890890799,0.009115222802625491,0.0011117750996456329,0.023286937955985985,2.3082522245215773,0.10006765473688783,0.6282945860262791,-0.7764021959679547,1
3,3,0.09367362589318937,-0.07808931626058421,0.025455156392872567,0.034885800287126636,0.047647460527614566,-0.04771236370530648,-0.6892371015017479,0.056113743828935185,0.19624102942516095,-0.930306161439675,0
1,1,-0.1647054778135415,0.9784309636799412,0.024858110479422418,0.0312473730209304,0.04635891898997552,0.008738694952992182,-0.08272624138006712,-0.1647054778135415,-0.08272624138006712,-0.1984826674726321,0
2,3,0.0414206617835212,0.5860330030573453,-0.00928022331344105,0.001122778169267999,-0.02021161096563725,-0.021159556584804173,-0.9780926075656692,0.1311502785747331,-0.393523975687802,-0.15740736365277866,1
3,3,0.10607982268260033,-0.048077872998768735,-0.009913136224624813,-0.025175918555474224,0.013073267598030649,-0.011440114965359488,-0.04799046818669983,0.010103626746992318,-0.18732221895689244,-0.7775529095912765,1
0,3,-0.15797920474109495,-0.21866580556973947,0.016103364406427473,-0.007893802013067181,0.06666463774632862,-0.031200156458678706,-0.7406874855420834,-0.03472216230000658,0.08870751305668863,0.3615635329454425,1
3,2,0.05275738210863271,0.1225175243413828,0.03047516957437655,0.012811091912024342,0.07882255983890059,-0.2269892739031609,-0.9593098263178126,0.0274112358071536,-0.3504432641610545,-0.7632187625407186,1
1,2,0.00911355340949308,-0.08694464074282733,-0.002850840935545251,0.02234657905423565,0.003354846166462505,-0.012656337683918795,-0.34065414464021554,-0.013019243517775671,-0.11338845052082575,-0.9400228278704283,1
3,4,-0.06952356051462205,-0.056329188184515024,0.0016211521475293493,0.043856980738667714,0.04627219324726288,0.0154012382112178,0.5744679880419915,0.024669365986269932,-0.15662939205219129,-0.9463403573592436,0
4,2,-0.04921402489832215,-0.08361097574641177,0.023838415212896143,0.002402875328073749,-0.058085280174552535,-0.00949880417793372,-0.5946179886880542,-0.0424598386935518,-0.2320621599087952,0.2419375200822787,1
0,2,0.027219202110002425,-0.2332621657944161,-0.003668032135083764,0.022542986727902614,-0.054163168761714016,0.005932133340577449,-0.04448580246570877,-0.1182493452347343,-0.19762740667784284,-0.9061660190118269,0
