Sector,Q,MnWndSp_Av,MaxWndGst,AvAirT_Max,AvAirT_Min,AvHum_Av,AvHum_Max,AvHum_Min,Precip_Tot,MnWndDir_Av_3,BurnFrCh,Fire
3,4,-0.24356387188875026,-0.05331668615455233,0.015960828867110706,-0.025124795148575352,-0.011607636989885409,-0.00881171260275439,-0.08202971853003946,-0.6034481489746366,-0.03294126089313963,-0.6135435213304141,1
2,4,0.034531081467205085,-0.20504905889283226,0.011633642487060348,0.007583050343793585,0.2402407296549122,0.013600769892111408,0.3773577229852513,2.2658045879584123,-0.060071079000380515,-0.981001935256714,1
4,4,0.11858518725008475,-0.17511597146639946,0.1021117376027485,-0.0567456949114012,0.05111217685795714,0.012844200301162612,0.002193758659425976,-0.24134931895771905,0.015421850405681375,-0.8986395452483342,1
4,2,0.14119268163451987,-0.2097849186882214,0.01986629537874076,0.1159253327059408,-0.2705483046957397,-0.08762665262967513,-0.3853315613706077,-0.805203351487833,-0.04459590670590145,-0.7657792670909137,1
2,2,0.12348388022303368,-0.23043479908522194,-0.07653780716758696,0.010669415942124543,0.053560212120837634,-0.009089767028618656,0.2235047032002792,0.045695817270680436,-0.08620920416689297,-0.8553534419228488,1
2,4,0.1590524034341794,0.10139457739116124,0.031275484340908946,0.08597847204504053,-0.0673710179601706,-0.008299525942594484,-0.13586431716246572,0.22217506252720529,-0.1134218313583174,-0.2415852188643737,1
2,2,-0.16948650182213826,0.4188513152321627,-0.02452885571780619,-0.3646157293954257,0.062027974226067775,0.02365830076880577,0.013909014578317605,-0.34249302565624395,0.09271815451437676,-0.4730207743969462,1
4,1,-0.3010689931064642,0.4498466591511445,0.06080833440926753,-0.3135253902350226,-0.06246290410563645,-0.0033780327305207233,-0.15864080257968138,-0.4953075362177913,0.04639134654798014,1.470567277946388,1
3,3,-0.027520445187052968,0.109120637210451,0.020069961304613155,0.026004395464462683,-0.03609041943527322,0.026952919261779208,0.18663119734313224,-0.8994477739181331,0.0060032702101159826,-0.531942394283641,1
2,4,-0.07602718089034337,0.3348482177939753,-0.012425243584059076,-0.4656889975881561,0.05842763567033145,0.0004303773912969661,0.17678530463331946,-0.07950290860383903,0.13092648555354197,-0.9912702412198952,1
0,2,0.003743062490897178,-0.026915798817196145,-2.3628848865821576e-05,0.1449467154736545,-0.05676159523507236,0.010070206700836795,-0.13348705518816406,-0.07863431202283483,0.061251558774995635,-0.5066155630186849,1
4,1,0.07352370120120713,0.1275361144257819,-0.03545222795729994,-0.13444052684037566,-0.032938308996040916,0.005402044936981007,-0.2315335080686904,-0.2652705149726803,0.04400802217031816,2.9125313840303684,1
4,3,0.03525369061248742,-0.23396435007999145,0.0025859488230567584,-0.0485956628536483,-0.14911793112075586,-0.09052660383580527,-0.3296918020453601,1.4457187023502818,0.009578341444124913,-0.5640713809208149,1
3,2,0.12311628068048674,-0.1696941689146509,0.01977070539088314,0.08430149646182425,-0.2137263828449356,-0.04294760679964808,-0.4873226765286896,-0.4991217284666038,0.04022982832293049,-0.5174888048966058,1
1,2,0.06824440072804731,0.8143866627323575,0.025246309969024983,0.09170929498203877,0.10054026462340522,0.026149101527099608,0.2276327756527129,-0.29644235260590385,-0.06468845185523116,-0.7778888405530733,1
1,1,0.07404579189960322,-0.08331065879209383,-0.09368661204752947,-0.01936703578889948,0.06491396169973454,0.008738694952992182,0.26990747562836404,-0.4285563188176016,0.06541416217220195,-0.8364462043634836,0
2,3,-0.03086113239873556,0.01828075282671953,0.009115222802625491,0.0011117750996456329,-0.025600160627350387,0.023286937955985985,-0.010025852938961122,2.3082522245215773,0.10006765473688783,-0.7764021959679547,1
2,1,0.03436785455206494,0.10357470210815782,-0.060877207920916186,0.027364416936777897,0.3877093571299197,0.02136806575798341,0.7286828235045717,1.9234899441727256,-0.09471959198966748,-0.9526736848798348,1
2,3,-0.051540188721559084,-0.08253353308492314,-0.01971200388767138,-0.014543380564106928,-0.07153081476625674,0.039488233335088704,-0.2465244718846969,-0.3433572656855843,0.083232018919225,0.4871621197826572,1
4,1,0.05073356286033588,-0.18934737502452093,0.051469496835954816,0.8412877372153116,-0.13996470037150746,0.000680333867202238,-0.24628842743775095,-0.7248954175519489,-0.0635547402930268,5.923589969767418,1
0,3,0.021534591139666,-0.1373539388997554,0.012962128394701036,-0.006179844864766656,-0.03527151111799817,0.03509180551853828,-0.22404716355687865,0.5327833317843851,-0.11007105951381436,0.3511459023591181,1
1,3,0.06713356881185448,0.07735321419196316,-0.02466784252548489,0.031177035272775613,0.1599629549799514,0.047333657182571945,0.3585136624271862,2.8533042906022485,0.06750914291783555,-0.9763088231390672,1
2,4,-0.1276771916447148,-0.042920184099721134,-0.04134924405344991,0.02399751177211413,0.002738577551813109,0.0014376408675466773,0.13412056019463625,1.2371989467427205,0.09658894803047348,-0.9881036274592836,1
